date,institutional,other,individual,foreign,total,ticker
2021.10.31,46692399500,511202000,2576685000,-49780286500,0,086280
2021.11.30,-15609474500,982323500,48589101000,-33961950000,0,086280
2021.12.31,46681495000,-472648000,-28318638500,-17890208500,0,086280
2013.4.30,-94540914000,-2125863500,1.1549E+11,-18823627000,0,011170
2013.5.31,-72476280500,1318353500,79472876500,-8314949500,0,011170
2013.6.30,-8165586500,1621396000,26513748500,-19969558000,0,011170
2013.7.31,94031333000,-1469411500,-1.05631E+11,13069395500,0,011170
2013.8.31,-25536611500,2247867000,-1.29184E+11,1.52473E+11,0,011170
2013.9.30,62008262500,2299575000,-67635916500,3328079000,0,011170
2013.10.31,91064701000,1871988500,-48170441000,-44766248500,0,011170
2013.11.30,48677560500,6939418500,-12385370500,-43231608500,0,011170
2013.12.31,19987300500,-3022723000,-63997842000,47033264500,0,011170
2014.1.31,-1718122000,-687098500,2085721500,319499000,0,011170
2014.2.28,-25114589500,400269500,61177934500,-36463614500,0,011170
2014.3.31,1759371500,-2221127000,42316500500,-41854745000,0,011170
2014.4.30,-74661618000,-441520000,95352535500,-20249397500,0,011170
2014.5.31,-12942826000,1593200000,1059380000,10290246000,0,011170
2014.6.30,1.19307E+11,-5071211000,-1.01477E+11,-12758582500,0,011170
2014.7.31,-68050988500,-54327500,30828946500,37276369500,0,011170
2014.8.31,-69195411000,770615500,29315875500,39108920000,0,011170
2014.9.30,-56796951500,2364332500,26187395500,28245223500,0,011170
2014.10.31,37206116000,34526000,-25700734000,-11539908000,0,011170
2014.11.30,1.65272E+11,-3521061000,-1.58527E+11,-3224464000,0,011170
2014.12.31,-88747568000,1074331000,10830035000,76843202000,0,011170
2015.1.31,-82020851000,-959706000,-13548498500,96529055500,0,011170
2015.2.28,-2584829500,-1575846500,-95207452500,99368128500,0,011170
2015.3.31,4637368960,-1488929500,-71168088500,68019649040,0,011170
2015.4.30,1.51144E+11,615361000,-1.18385E+11,-33374528500,0,011170
2015.5.31,-96698795000,-113543500,5455626500,91356712000,0,011170
2015.6.30,1.57714E+11,4166054500,-1.14193E+11,-47686926000,0,011170
2015.7.31,-97667133500,6034517000,57004153000,34628463500,0,011170
2015.8.31,-34822712500,2810461500,812933500,31199317500,0,011170
2015.9.30,-23138118000,-3285742500,-44225792000,70649652500,0,011170
2015.10.31,-88296325500,900694000,32750432000,54645199500,0,011170
2015.11.30,18690248000,3193567000,38276097500,-60159912500,0,011170
2015.12.31,26005482500,1241985000,-26028437000,-1219030500,0,011170
2016.1.31,1.70042E+11,-1428021000,-86328787500,-82285483000,0,011170
2016.2.29,1.01524E+11,-7159213500,-1.39457E+11,45091692500,0,011170
2016.3.31,60477730000,-825058000,-40395397500,-19257274500,0,011170
2016.4.30,-27948820500,3182288500,73373454000,-48606922000,0,011170
2016.5.31,-19564749500,-3036149500,-10030698500,32631597500,0,011170
2016.6.30,1.28842E+11,1834570000,-20726151500,-1.0995E+11,0,011170
2016.7.31,46307090500,-1084326500,-41275693500,-3947070500,0,011170
2016.8.31,-1.27127E+11,-570036000,53228255000,74468638000,0,011170
2016.9.30,58646676000,3016808500,-63994664500,2331180000,0,011170
2016.10.31,17788012000,1729296500,-4302481000,-15214827500,0,011170
2016.11.30,1.01067E+11,-590759000,-73547078000,-26929529000,0,011170
2016.12.31,63952826000,427707500,-44428970000,-19951563500,0,011170
2017.1.31,-49069720000,800320500,20692739000,27576660500,0,011170
2017.2.28,92591666500,-2.14075E+11,70356876500,51126632500,0,011170
2017.3.31,19899697000,364795500,32569636000,-52834128500,0,011170
2017.4.30,-35460838500,4503339500,1.229E+11,-91942744000,0,011170
