date,BPS,PER,PBR,EPS,DIV,DPS,ticker
2018.12.31,34717,6.83,1.15,5824,3.77,1500,001450
2019.1.31,34717,6.84,1.15,5824,3.76,1500,001450
2019.2.28,34717,6.66,1.12,5824,3.87,1500,001450
2019.3.31,34717,6.42,1.08,5824,4.01,1500,001450
2019.4.30,34717,6.58,1.1,5824,3.92,1500,001450
2019.5.31,46212,8.26,0.82,4607,2.97,1130,001450
2019.6.30,46212,6.83,0.68,4607,3.59,1130,001450
2019.7.31,46212,6.19,0.62,4607,3.96,1130,001450
2019.8.31,46212,5.94,0.59,4607,4.13,1130,001450
2019.9.30,46212,5.18,0.52,4607,4.74,1130,001450
2019.10.31,46212,5.76,0.57,4607,4.26,1130,001450
2019.11.30,46212,5.48,0.55,4607,4.48,1130,001450
2019.12.31,46212,6.07,0.6,4607,4.04,1130,001450
2020.1.31,46212,5.62,0.56,4607,4.36,1130,001450
2020.2.29,46212,4.73,0.47,4607,5.18,1130,001450
2020.3.31,46212,4.67,0.47,4607,5.26,1130,001450
2020.4.30,46212,4.58,0.46,4607,5.36,1130,001450
2020.5.31,50452,7.83,0.49,3161,3.56,880,001450
2020.6.30,50452,7.72,0.48,3161,3.61,880,001450
2020.7.31,50452,7.28,0.46,3161,3.83,880,001450
2020.8.31,50452,7.13,0.45,3161,3.9,880,001450
2020.9.30,50452,7.15,0.45,3161,3.89,880,001450
2020.10.31,50452,7.17,0.45,3161,3.89,880,001450
2020.11.30,50452,7.56,0.47,3161,3.68,880,001450
2020.12.31,50452,7.2,0.45,3161,3.87,880,001450
2021.1.31,50452,7.09,0.44,3161,3.93,880,001450
2021.2.28,50452,6.39,0.4,3161,4.36,880,001450
2021.3.31,50452,7.05,0.44,3161,3.95,880,001450
2021.4.30,50452,7.59,0.48,3161,3.67,880,001450
2021.5.31,53743,6.04,0.44,3955,4.18,1000,001450
2021.6.30,53743,6.19,0.46,3955,4.08,1000,001450
2021.7.31,53743,6.45,0.47,3955,3.92,1000,001450
2021.8.31,53743,6.54,0.48,3955,3.87,1000,001450
2021.9.30,53743,6.51,0.48,3955,3.88,1000,001450
2021.10.31,53743,6.7,0.49,3955,3.77,1000,001450
2021.11.30,53743,6.7,0.49,3955,3.77,1000,001450
2021.12.31,53743,5.95,0.44,3955,4.25,1000,001450
2013.4.30,8342,30.77,1.34,364,0.89,100,020150
2013.5.31,6916,0,1.55,0,0,0,020150
2013.6.30,6916,0,1.55,0,0,0,020150
2013.7.31,6916,0,1.58,0,0,0,020150
2013.8.31,6916,0,2.28,0,0,0,020150
2013.9.30,6916,0,2.15,0,0,0,020150
2013.10.31,6916,0,2.27,0,0,0,020150
2013.11.30,6916,0,1.74,0,0,0,020150
2013.12.31,6916,0,1.55,0,0,0,020150
2014.1.31,6916,0,1.5,0,0,0,020150
2014.2.28,6916,0,1.5,0,0,0,020150
2014.3.31,6916,0,1.91,0,0,0,020150
2014.4.30,6916,0,1.79,0,0,0,020150
2014.5.31,6861,0,1.64,0,0,0,020150
2014.6.30,6861,0,1.47,0,0,0,020150
2014.7.31,6861,0,1.59,0,0,0,020150
2014.8.31,6861,0,1.53,0,0,0,020150
2014.9.30,6861,0,1.6,0,0,0,020150
2014.10.31,6861,0,1.41,0,0,0,020150
2014.11.30,6861,0,1.19,0,0,0,020150
2014.12.31,6861,0,1.13,0,0,0,020150
2015.1.31,6861,0,1.06,0,0,0,020150
2015.2.28,6861,0,1.1,0,0,0,020150
2015.3.31,6861,0,1.29,0,0,0,020150
2015.4.30,6861,0,1.25,0,0,0,020150
2015.5.31,6921,94.3,1.17,86,0,0,020150
2015.6.30,6921,93.84,1.17,86,0,0,020150
2015.7.31,6921,84.07,1.04,86,0,0,020150
2015.8.31,6921,80.47,1,86,0,0,020150
2015.9.30,6921,70.47,0.88,86,0,0,020150
2015.10.31,6921,100.35,1.25,86,0,0,020150
2015.11.30,6921,95.23,1.18,86,0,0,020150
2015.12.31,6921,108.14,1.34,86,0,0,020150
2016.1.31,6921,152.33,1.89,86,0,0,020150
2016.2.29,6921,139.53,1.73,86,0,0,020150
2016.3.31,6921,133.14,1.65,86,0,0,020150
2016.4.30,6921,143.6,1.78,86,0,0,020150
2016.5.31,5945,0,2.53,0,0,0,020150
2016.6.30,5945,0,2.96,0,0,0,020150
2016.7.31,5945,0,3.2,0,0,0,020150
2016.8.31,5945,0,2.9,0,0,0,020150
2016.9.30,5945,0,2.94,0,0,0,020150
2016.10.31,5945,0,2.94,0,0,0,020150
2016.11.30,5945,0,2.75,0,0,0,020150
2016.12.31,5945,0,2,0,0,0,020150
2017.1.31,5945,0,2.15,0,0,0,020150
2017.2.28,5945,0,2.41,0,0,0,020150
2017.3.31,5945,0,2.56,0,0,0,020150
2017.4.30,5945,0,2.85,0,0,0,020150
2017.5.31,7305,17.35,2.38,1003,0.29,50,020150
2017.6.30,7305,22.63,3.11,1003,0.22,50,020150
2017.7.31,7305,30.61,4.2,1003,0.16,50,020150
2017.8.31,7072,38.16,5.24,971,0.13,50,020150
2017.9.30,7072,41.56,5.71,971,0.12,50,020150
2017.10.31,7072,37.02,5.08,971,0.14,50,020150
2017.11.30,7072,34.4,4.72,971,0.15,50,020150
2017.12.31,7072,40.63,5.58,971,0.13,50,020150
2018.1.31,7072,39.8,5.47,971,0.13,50,020150
2018.2.28,7072,40.01,5.49,971,0.13,50,020150
2018.3.31,7072,33.93,4.66,971,0.15,50,020150
2018.4.30,7072,38.41,5.27,971,0.13,50,020150
2018.5.31,11531,32.02,2.85,1026,1.98,650,020150
2018.6.30,11531,36.01,3.2,1026,1.76,650,020150
2018.7.31,11531,41.08,3.66,1026,1.54,650,020150
2018.8.31,11531,52.24,4.65,1026,1.21,650,020150
2018.9.30,11531,53.31,4.74,1026,1.19,650,020150
2018.10.31,11531,52.14,4.64,1026,1.21,650,020150
2018.11.30,11531,44.98,4,1026,1.41,650,020150
2018.12.31,11531,38.6,3.43,1026,1.64,650,020150
2019.1.31,11531,38.4,3.42,1026,1.65,650,020150
2019.2.28,11531,40.16,3.57,1026,1.58,650,020150
2019.3.31,11531,39.91,3.55,1026,1.59,650,020150
2019.4.30,11531,36.45,3.24,1026,1.74,650,020150
2019.5.31,11460,42.36,3.32,897,0,0,020150
2019.6.30,11460,40.8,3.19,897,0,0,020150
2019.7.31,11460,43.53,3.41,897,0,0,020150
2019.8.31,11460,40.86,3.2,897,0,0,020150
2019.9.30,11460,47.32,3.7,897,0,0,020150
2019.10.31,11460,42.14,3.3,897,0,0,020150
2019.11.30,11460,43.53,3.41,897,0,0,020150
2019.12.31,11460,44.65,3.49,897,0,0,020150
2020.1.31,11460,47.94,3.75,897,0,0,020150
2020.2.29,11460,56.08,4.39,897,0,0,020150
2020.3.31,11460,53.51,4.19,897,0,0,020150
2020.4.30,11460,34.39,2.69,897,0,0,020150
2020.5.31,12390,38.58,3.16,1016,0.13,50,020150
2020.6.30,12390,46.56,3.82,1016,0.11,50,020150
2020.7.31,12390,47.98,3.93,1016,0.1,50,020150
2020.8.31,12390,54.33,4.46,1016,0.09,50,020150
2020.9.30,12390,49.51,4.06,1016,0.1,50,020150
2020.10.31,12390,44.29,3.63,1016,0.11,50,020150
2020.11.30,12390,42.42,3.48,1016,0.12,50,020150
2020.12.31,12390,46.06,3.78,1016,0.11,50,020150
2021.1.31,12390,51.67,4.24,1016,0.1,50,020150
2021.2.28,12390,69.59,5.71,1016,0.07,50,020150
2021.3.31,12390,68.41,5.61,1016,0.07,50,020150
2021.4.30,12390,68.11,5.59,1016,0.07,50,020150
2021.5.31,13255,71.74,5.02,927,0.3,200,020150
2021.6.30,13255,71.63,5.01,927,0.3,200,020150
2021.7.31,13255,79.07,5.53,927,0.27,200,020150
2021.8.31,13255,86.3,6.04,927,0.25,200,020150
2021.9.30,13255,81.45,5.7,927,0.26,200,020150
2021.10.31,13255,111.11,7.77,927,0.19,200,020150
2021.11.30,13255,105.29,7.36,927,0.2,200,020150
2021.12.31,13255,140.78,9.85,927,0.15,200,020150
2013.4.30,36407,11.71,1.85,5745,1.26,850,039490
2013.5.31,36407,11.68,1.84,5745,1.27,850,039490
2013.6.30,36407,11.14,1.76,5745,1.33,850,039490
2013.7.31,36407,9.49,1.5,5745,1.56,850,039490
2013.8.31,37861,24.26,1.49,2329,0.8,450,039490
2013.9.30,37861,22.16,1.36,2329,0.87,450,039490
2013.10.31,37861,22.11,1.36,2329,0.87,450,039490
2013.11.30,37861,24.22,1.49,2329,0.8,450,039490
2013.12.31,37861,23.53,1.45,2329,0.82,450,039490
2014.1.31,37861,21.9,1.35,2329,0.88,450,039490
2014.2.28,37861,22.63,1.39,2329,0.85,450,039490
2014.3.31,37861,23.27,1.43,2329,0.83,450,039490
2014.4.30,37861,22.84,1.41,2329,0.85,450,039490
2014.5.31,38413,30.91,1.32,1640,0.69,350,039490
2014.6.30,38413,25.64,1.09,1640,0.83,350,039490
2014.7.31,38413,25.7,1.1,1640,0.83,350,039490
2014.8.31,38413,31.4,1.34,1640,0.68,350,039490
2014.9.30,38413,31.22,1.33,1640,0.68,350,039490
2014.10.31,38413,29.39,1.25,1640,0.73,350,039490
2014.11.30,38413,27.96,1.19,1640,0.76,350,039490
2014.12.31,38413,29.85,1.27,1640,0.72,350,039490
2015.1.31,38413,29.24,1.25,1640,0.73,350,039490
2015.2.28,38413,36.28,1.55,1640,0.59,350,039490
2015.3.31,38413,39.39,1.68,1640,0.54,350,039490
2015.4.30,38413,42.99,1.84,1640,0.5,350,039490
2015.5.31,41500,21.7,1.79,3420,0.61,450,039490
2015.6.30,41500,21.17,1.74,3420,0.62,450,039490
2015.7.31,41500,21.87,1.8,3420,0.6,450,039490
2015.8.31,41500,18.16,1.5,3420,0.72,450,039490
2015.9.30,41500,16.37,1.35,3420,0.8,450,039490
2015.10.31,41500,16.78,1.38,3420,0.78,450,039490
2015.11.30,41500,16.73,1.38,3420,0.79,450,039490
2015.12.31,41500,17.22,1.42,3420,0.76,450,039490
2016.1.31,41500,17.49,1.44,3420,0.75,450,039490
2016.2.29,41500,16.49,1.36,3420,0.8,450,039490
2016.3.31,41500,17.6,1.45,3420,0.75,450,039490
2016.4.30,41500,19.15,1.58,3420,0.69,450,039490
2016.5.31,49913,7.89,1.36,8585,1.03,700,039490
2016.6.30,49913,8.44,1.45,8585,0.97,700,039490
2016.7.31,49913,8.36,1.44,8585,0.97,700,039490
2016.8.31,49913,9.25,1.59,8585,0.88,700,039490
2016.9.30,49913,8.79,1.51,8585,0.93,700,039490
2016.10.31,49913,8.22,1.41,8585,0.99,700,039490
2016.11.30,49913,7.79,1.34,8585,1.05,700,039490
2016.12.31,49913,7.42,1.28,8585,1.1,700,039490
