date,market_cap,volume,trading_value,shares,ticker
2018.5.31,5.27614E+12,1025359,3.57738E+11,15053186,097950
2018.6.30,5.30625E+12,1056180,3.85007E+11,15053186,097950
2018.7.31,5.08798E+12,635199,2.12815E+11,15053186,097950
2018.8.31,5.15572E+12,637833,2.18412E+11,15053186,097950
2018.9.30,5.02057E+12,544375,1.79921E+11,15054186,097950
2018.10.31,4.87756E+12,759291,2.50087E+11,15054186,097950
2018.11.30,5.05821E+12,815113,2.7903E+11,15054186,097950
2018.12.31,4.97541E+12,644866,2.19907E+11,15054186,097950
2019.1.31,5.15606E+12,688788,2.32223E+11,15054186,097950
2019.2.28,4.84745E+12,722698,2.39444E+11,15054186,097950
2019.3.31,4.8625E+12,699114,2.27216E+11,15054186,097950
2019.4.30,4.74207E+12,703507,2.25929E+11,15054186,097950
2019.5.31,4.2227E+12,822299,2.38403E+11,15054186,097950
2019.6.30,4.47109E+12,588120,1.72019E+11,15054186,097950
2019.7.31,4.29044E+12,457153,1.31236E+11,15054186,097950
2019.8.31,3.43988E+12,1122012,2.71355E+11,15054186,097950
2019.9.30,3.53021E+12,822566,1.92326E+11,15054186,097950
2019.10.31,3.43988E+12,907395,2.01774E+11,15054186,097950
2019.11.30,3.73344E+12,980812,2.42149E+11,15054186,097950
2019.12.31,3.80118E+12,782756,1.92526E+11,15054186,097950
2020.1.31,3.57537E+12,750239,1.80801E+11,15054186,097950
2020.2.29,3.67322E+12,1219811,3.20613E+11,15054186,097950
2020.3.31,3.2517E+12,1765097,3.68317E+11,15054186,097950
2020.4.30,4.10227E+12,1669676,4.07873E+11,15054186,097950
2020.5.31,4.47109E+12,1968863,5.84076E+11,15054186,097950
2020.6.30,4.90766E+12,1945409,6.27123E+11,15054186,097950
2020.7.31,5.81092E+12,1821038,6.83257E+11,15054186,097950
2020.8.31,6.12705E+12,2284094,9.44012E+11,15054186,097950
2020.9.30,5.9464E+12,1461735,5.73504E+11,15054186,097950
2020.10.31,5.43456E+12,871036,3.39551E+11,15054186,097950
2020.11.30,5.44209E+12,1404376,5.21348E+11,15054186,097950
2020.12.31,5.73564E+12,1541577,5.74312E+11,15054186,097950
2021.1.31,6.41308E+12,2650233,1.13918E+12,15054186,097950
2021.2.28,6.11953E+12,1590545,6.84205E+11,15054186,097950
2021.3.31,6.18727E+12,1066218,4.40473E+11,15054186,097950
2021.4.30,5.95393E+12,817643,3.3658E+11,15054186,097950
2021.5.31,7.35397E+12,2064156,9.30567E+11,15054186,097950
2021.6.30,6.93998E+12,948599,4.36815E+11,15054186,097950
2021.7.31,7.04536E+12,781982,3.59901E+11,15054186,097950
2021.8.31,6.82707E+12,1213815,5.56994E+11,15054186,097950
2021.9.30,6.16469E+12,619099,2.67396E+11,15054186,097950
2021.10.31,5.72059E+12,848878,3.35955E+11,15054186,097950
2021.11.30,5.32918E+12,983757,3.66991E+11,15054186,097950
2021.12.31,5.8335E+12,931348,3.56089E+11,15054186,097950
2013.4.30,6.43636E+12,15592139,9.17845E+11,111355765,000720
2013.5.31,6.83724E+12,9974258,6.05691E+11,111355765,000720
2013.6.30,6.22479E+12,7023639,4.05628E+11,111355765,000720
2013.7.31,6.59226E+12,6633561,3.80399E+11,111355765,000720
2013.8.31,6.39182E+12,6734049,3.81111E+11,111355765,000720
2013.9.30,6.88179E+12,8166681,5.05508E+11,111355765,000720
2013.10.31,6.78157E+12,7255926,4.45741E+11,111355765,000720
2013.11.30,7.00428E+12,6860962,4.12108E+11,111355765,000720
