date,ticker,open,high,low,close,volume
2020.3.31,066570,60300,61900,41600,48200,24517191
2020.4.30,066570,48250,55900,47850,54900,19374372
2020.5.31,066570,54000,60000,53400,59300,15009500
2020.6.30,066570,59000,70800,58500,63200,24863994
2020.7.31,066570,64000,76700,63600,70700,22883676
2020.8.31,066570,71300,92400,71000,84200,32347566
2020.9.30,066570,85100,95000,82900,91700,26498140
2020.10.31,066570,91000,98900,83400,84000,17223356
2020.11.30,066570,85300,90700,84400,85500,18160144
2020.12.31,066570,86100,136500,85500,135000,83601119
2021.1.31,066570,136500,193000,135000,153000,108208823
2021.2.28,066570,153500,177000,146000,146500,48703745
2021.3.31,066570,150500,161000,140000,150000,33193761
2021.4.30,066570,154500,174500,150500,157500,45105665
2021.5.31,066570,156500,158500,144000,152000,18369491
2021.6.30,066570,151500,167000,149000,163500,22429316
2021.7.31,066570,164000,172000,156000,157500,23665486
2021.8.31,066570,157500,162000,138000,142000,17749834
2021.9.30,066570,143000,154500,125000,127500,22618690
2021.10.31,066570,125500,129000,119000,120500,18748248
2021.11.30,066570,121000,137500,115000,115500,22278241
2021.12.31,066570,116500,141500,115500,138000,23635590
2013.11.30,068270,28210,29857,27971,28887,3509059
2013.12.31,068270,28849,29591,24803,26587,14138925
2014.1.31,068270,26862,34176,26653,31025,30628487
2014.2.28,068270,30568,33899,27902,33243,19565055
2014.3.31,068270,33449,34420,27935,30504,28558153
2014.4.30,068270,30499,36602,30394,33347,37559249
2014.5.31,068270,33271,36186,31612,33728,17548561
2014.6.30,068270,33308,34314,29947,32272,11067009
2014.7.31,068270,32270,32857,27518,27627,18486279
2014.8.31,068270,27070,31889,26967,28875,20715894
2014.9.30,068270,29046,33934,28146,33936,18700162
2014.10.31,068270,34034,34208,28176,29084,15596227
2014.11.30,068270,29043,30675,27102,27627,14174608
2014.12.31,068270,27832,28662,25821,28259,11044054
2015.1.31,068270,28398,30726,27563,29605,11616311
2015.2.28,068270,29747,55063,29349,47646,94737201
2015.3.31,068270,46913,55568,45242,50846,81504139
2015.4.30,068270,50481,70847,49826,62339,96963339
2015.5.31,068270,61607,63571,50114,50191,38422970
2015.6.30,068270,50477,64301,47497,56738,50877614
2015.7.31,068270,56877,62264,53753,56664,36617620
2015.8.31,068270,56660,62333,44659,51645,33669196
2015.9.30,068270,50985,53973,47494,49390,15864863
2015.10.31,068270,50039,61319,49239,56010,22291128
2015.11.30,068270,55571,68155,53826,62775,33929038
2015.12.31,068270,62625,64664,55355,63281,26004388
2016.1.31,068270,63726,90389,63126,83951,64775077
2016.2.29,068270,87016,96604,72488,74889,41664134
2016.3.31,068270,77134,84024,75561,82228,25504667
2016.4.30,068270,82149,91360,75034,75339,31025053
2016.5.31,068270,75034,75857,66272,74216,22507262
2016.6.30,068270,74362,75636,65971,71968,15259040
2016.7.31,068270,72790,79979,72641,77960,15978578
2016.8.31,068270,78479,89114,75859,79982,18577265
2016.9.30,068270,80502,84772,79006,79682,8651928
2016.10.31,068270,80577,82301,74810,79533,11404251
2016.11.30,068270,79379,81776,73836,76687,12491824
2016.12.31,068270,76532,84712,73538,84401,17321763
